"time" "S" "E" "I" "R"
"636062" 637 125 0 0 1176
"637062" 638 125 0 0 1176
"638062" 639 125 0 0 1176
"639062" 640 125 0 0 1176
"640062" 641 125 0 0 1176
"641062" 642 125 0 0 1176
"642062" 643 125 0 0 1176
"643062" 644 125 0 0 1176
"644062" 645 125 0 0 1176
"645062" 646 125 0 0 1176
"646062" 647 125 0 0 1176
"647062" 648 125 0 0 1176
"648062" 649 125 0 0 1176
"649062" 650 125 0 0 1176
"650062" 651 125 0 0 1176
"651062" 652 125 0 0 1176
"652062" 653 125 0 0 1176
"653062" 654 125 0 0 1176
"654062" 655 125 0 0 1176
"655062" 656 125 0 0 1176
"656062" 657 125 0 0 1176
"657062" 658 125 0 0 1176
"658062" 659 125 0 0 1176
"659062" 660 125 0 0 1176
"660062" 661 125 0 0 1176
"661062" 662 125 0 0 1176
"662062" 663 125 0 0 1176
"663062" 664 125 0 0 1176
"664062" 665 125 0 0 1176
"665062" 666 125 0 0 1176
"666062" 667 125 0 0 1176
"667062" 668 125 0 0 1176
"668062" 669 125 0 0 1176
"669062" 670 125 0 0 1176
"670062" 671 125 0 0 1176
"671062" 672 125 0 0 1176
"672062" 673 125 0 0 1176
"673062" 674 125 0 0 1176
"674062" 675 125 0 0 1176
"675062" 676 125 0 0 1176
"676062" 677 125 0 0 1176
"677062" 678 125 0 0 1176
"678062" 679 125 0 0 1176
"679062" 680 125 0 0 1176
"680062" 681 125 0 0 1176
"681062" 682 125 0 0 1176
"682062" 683 125 0 0 1176
"683062" 684 125 0 0 1176
"684062" 685 125 0 0 1176
"685062" 686 125 0 0 1176
"686062" 687 125 0 0 1176
"687062" 688 125 0 0 1176
"688062" 689 125 0 0 1176
"689062" 690 125 0 0 1176
"690062" 691 125 0 0 1176
"691062" 692 125 0 0 1176
"692062" 693 125 0 0 1176
"693062" 694 125 0 0 1176
"694062" 695 125 0 0 1176
"695062" 696 125 0 0 1176
"696062" 697 125 0 0 1176
"697062" 698 125 0 0 1176
"698062" 699 125 0 0 1176
"699062" 700 125 0 0 1176
"700062" 701 125 0 0 1176
"701062" 702 125 0 0 1176
"702062" 703 125 0 0 1176
"703062" 704 125 0 0 1176
"704062" 705 125 0 0 1176
"705062" 706 125 0 0 1176
"706062" 707 125 0 0 1176
"707062" 708 125 0 0 1176
"708062" 709 125 0 0 1176
"709062" 710 125 0 0 1176
"710062" 711 125 0 0 1176
"711062" 712 125 0 0 1176
"712062" 713 125 0 0 1176
"713062" 714 125 0 0 1176
"714062" 715 125 0 0 1176
"715062" 716 125 0 0 1176
"716062" 717 125 0 0 1176
"717062" 718 125 0 0 1176
"718062" 719 125 0 0 1176
"719062" 720 125 0 0 1176
"720062" 721 125 0 0 1176
"721062" 722 125 0 0 1176
"722062" 723 125 0 0 1176
"723062" 724 125 0 0 1176
"724062" 725 125 0 0 1176
"725062" 726 125 0 0 1176
"726062" 727 125 0 0 1176
"727062" 728 125 0 0 1176
"728062" 729 125 0 0 1176
"729062" 730 125 0 0 1176
"730062" 731 125 0 0 1176
"731062" 732 125 0 0 1176
"732062" 733 125 0 0 1176
"733062" 734 125 0 0 1176
"734062" 735 125 0 0 1176
"735062" 736 125 0 0 1176
"736062" 737 125 0 0 1176
"737062" 738 125 0 0 1176
"738062" 739 125 0 0 1176
"739062" 740 125 0 0 1176
"740062" 741 125 0 0 1176
"741062" 742 125 0 0 1176
"742062" 743 125 0 0 1176
"743062" 744 125 0 0 1176
"744062" 745 125 0 0 1176
"745062" 746 125 0 0 1176
"746062" 747 125 0 0 1176
"747062" 748 125 0 0 1176
"748062" 749 125 0 0 1176
"749062" 750 125 0 0 1176
"750062" 751 125 0 0 1176
"751062" 752 125 0 0 1176
"752062" 753 125 0 0 1176
"753062" 754 125 0 0 1176
"754062" 755 125 0 0 1176
"755062" 756 125 0 0 1176
"756062" 757 125 0 0 1176
"757062" 758 125 0 0 1176
"758062" 759 125 0 0 1176
"759062" 760 125 0 0 1176
"760062" 761 125 0 0 1176
"761062" 762 125 0 0 1176
"762062" 763 125 0 0 1176
"763062" 764 125 0 0 1176
"764062" 765 125 0 0 1176
"765062" 766 125 0 0 1176
"766062" 767 125 0 0 1176
"767062" 768 125 0 0 1176
"768062" 769 125 0 0 1176
"769062" 770 125 0 0 1176
"770062" 771 125 0 0 1176
"771062" 772 125 0 0 1176
"772062" 773 125 0 0 1176
"773062" 774 125 0 0 1176
"774062" 775 125 0 0 1176
"775062" 776 125 0 0 1176
"776062" 777 125 0 0 1176
"777062" 778 125 0 0 1176
"778062" 779 125 0 0 1176
"779062" 780 125 0 0 1176
"780062" 781 125 0 0 1176
"781062" 782 125 0 0 1176
"782062" 783 125 0 0 1176
"783062" 784 125 0 0 1176
"784062" 785 125 0 0 1176
"785062" 786 125 0 0 1176
"786062" 787 125 0 0 1176
"787062" 788 125 0 0 1176
"788062" 789 125 0 0 1176
"789062" 790 125 0 0 1176
"790062" 791 125 0 0 1176
"791062" 792 125 0 0 1176
"792062" 793 125 0 0 1176
"793062" 794 125 0 0 1176
"794062" 795 125 0 0 1176
"795062" 796 125 0 0 1176
"796062" 797 125 0 0 1176
"797062" 798 125 0 0 1176
"798062" 799 125 0 0 1176
"799062" 800 125 0 0 1176
"800062" 801 125 0 0 1176
"801062" 802 125 0 0 1176
"802062" 803 125 0 0 1176
"803062" 804 125 0 0 1176
"804062" 805 125 0 0 1176
"805062" 806 125 0 0 1176
"806062" 807 125 0 0 1176
"807062" 808 125 0 0 1176
"808062" 809 125 0 0 1176
"809062" 810 125 0 0 1176
"810062" 811 125 0 0 1176
"811062" 812 125 0 0 1176
"812062" 813 125 0 0 1176
"813062" 814 125 0 0 1176
"814062" 815 125 0 0 1176
"815062" 816 125 0 0 1176
"816062" 817 125 0 0 1176
"817062" 818 125 0 0 1176
"818062" 819 125 0 0 1176
"819062" 820 125 0 0 1176
"820062" 821 125 0 0 1176
"821062" 822 125 0 0 1176
"822062" 823 125 0 0 1176
"823062" 824 125 0 0 1176
"824062" 825 125 0 0 1176
"825062" 826 125 0 0 1176
"826062" 827 125 0 0 1176
"827062" 828 125 0 0 1176
"828062" 829 125 0 0 1176
"829062" 830 125 0 0 1176
"830062" 831 125 0 0 1176
"831062" 832 125 0 0 1176
"832062" 833 125 0 0 1176
"833062" 834 125 0 0 1176
"834062" 835 125 0 0 1176
"835062" 836 125 0 0 1176
"836062" 837 125 0 0 1176
"837062" 838 125 0 0 1176
"838062" 839 125 0 0 1176
"839062" 840 125 0 0 1176
"840062" 841 125 0 0 1176
"841062" 842 125 0 0 1176
"842062" 843 125 0 0 1176
"843062" 844 125 0 0 1176
"844062" 845 125 0 0 1176
"845062" 846 125 0 0 1176
"846062" 847 125 0 0 1176
"847062" 848 125 0 0 1176
"848062" 849 125 0 0 1176
"849062" 850 125 0 0 1176
"850062" 851 125 0 0 1176
"851062" 852 125 0 0 1176
"852062" 853 125 0 0 1176
"853062" 854 125 0 0 1176
"854062" 855 125 0 0 1176
"855062" 856 125 0 0 1176
"856062" 857 125 0 0 1176
"857062" 858 125 0 0 1176
"858062" 859 125 0 0 1176
"859062" 860 125 0 0 1176
"860062" 861 125 0 0 1176
"861062" 862 125 0 0 1176
"862062" 863 125 0 0 1176
"863062" 864 125 0 0 1176
"864062" 865 125 0 0 1176
"865062" 866 125 0 0 1176
"866062" 867 125 0 0 1176
"867062" 868 125 0 0 1176
"868062" 869 125 0 0 1176
"869062" 870 125 0 0 1176
"870062" 871 125 0 0 1176
"871062" 872 125 0 0 1176
